pdv,CouponDiscountAmt,CouponDiscountAmt_LAG_1,CouponDiscountAmt_LAG_2,CouponDiscountAmt_LAG_3,CouponDiscountAmt_LAG_4,CouponDiscountAmt_LAG_5,CouponDiscountAmt^2,CouponDiscountAmt_LAG_1_POLY_2,CouponDiscountAmt_LAG_2_POLY_2,CouponDiscountAmt_LAG_3_POLY_2,CouponDiscountAmt_LAG_4_POLY_2,CouponDiscountAmt_LAG_5_POLY_2
01650,3.286298911506046e-30,-1.001379852820186e-31,6.158408268826888e-32,-2.55981828247505e-32,-2.2569011899920482e-32,-5.0725380721178216e-33,-2.3820717995118023e-34,1.4778914010911372e-33,1.0186700965982488e-34,2.774138386594358e-34,4.353558249368046e-35,-5.305247723839456e-34
01657,-4.8199785650790106e-33,-1.2726104947840864e-32,1.01175288594674e-33,-5.1532357820551694e-33,1.35599713755643e-33,-1.533531043460328e-33,1.7115245003360917e-33,4.357025726541266e-34,3.743464576995657e-35,2.5640010708416764e-35,-3.766601480711263e-35,-6.598074729408823e-35
01698,-4.8477003765615955e-30,2.2429066800490768e-31,4.2663815236526503e-32,9.275856491889467e-32,5.47221201126789e-32,1.3430534637815236e-32,2.1933040456826746e-32,-3.942437475048533e-34,-7.791676884465094e-35,2.53130102670198e-35,-3.2429511096070477e-36,-5.145931819370351e-34
01705,-2.2337638230508642e-31,-1.164020671101514e-31,-1.0702873841403206e-31,2.2111187954606195e-32,3.049922337592981e-34,1.2321205582975792e-31,1.2634189242512391e-33,1.436595644108428e-33,2.5417618770112053e-34,4.540174990328229e-34,1.949122677453515e-35,2.5645079358782515e-34
01709,3.373080690399096e-26,4.544070039049429e-08,1.5098311783432475e-26,-8.604082107557239e-27,1.1283631682535527e-26,2.2868234822119654e-26,3.197057587382808e-26,3.4080525292820256e-06,1.442636477094555e-25,-9.727103199814611e-26,1.4142757225519863e-24,-4.007625991884839e-27
01714,-2.8116568532614187e-30,1.455803227909741e-30,2.4068658381151164e-31,-1.3970763930515915e-31,3.021707311745088e-31,-2.7375830008254997e-32,-2.5347393019707224e-32,-4.332728892332096e-33,5.9400236077006264e-34,3.0171187262931503e-34,7.879015205248692e-35,1.4027379462549528e-34
01735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02205,1.058128161584705e-25,3.087232406415515e-26,9.604427690195589e-27,7.439527702072246e-27,1.5269239059913425e-27,-4.298027963160591e-27,-1.1672012480118023e-27,-5.891727421672202e-29,-1.994154098338994e-29,-3.3231041134929744e-29,-6.1105093722524545e-30,3.1320828163195516e-29
02481,2.6792295030149014e-29,-1.850739401238218e-31,-1.03339451936617e-31,-4.994548673402396e-31,-6.137310189369955e-32,-7.590404932785717e-33,2.4336035640169245e-32,4.288776397915932e-34,-2.125033874496843e-34,7.734758337756654e-36,5.648354721992431e-35,-1.0382380154093525e-34
02486,-7.637540340482585e-29,1.825724033515034e-30,7.256160080641589e-31,-1.3994713846014044e-31,4.281095492207684e-31,-1.1682264914187848e-31,2.5272528591473107e-31,3.847479536116738e-32,-1.0295692782998511e-32,-9.031637878571922e-33,-1.9556067584714496e-32,-7.632876082634908e-33
02532,2.1635127835376784e-18,-1.1721620989706172e-07,-9.703384889539211e-08,-1.507928415252615e-07,-1.1655542117099069e-08,-1.620422054869644e-08,-3.8254984467005614e-23,-8.483242111482621e-06,-6.944310677600691e-06,-2.2618926228728027e-06,-8.573816498325979e-07,-1.1919824240999585e-06
02644,-5.113318803593018e-30,-4.7591608187965193e-32,-2.8009448091787834e-31,1.4545537995087492e-31,3.972674276859913e-33,1.1903988284505222e-31,-1.3870766081072185e-33,-7.069655974333358e-32,2.2440276992762415e-32,9.023251965048641e-33,8.982683242621489e-34,-9.901277986535599e-33
02975,7.974830122690435e-31,-2.100147324074601e-33,-8.769072992973853e-34,1.0288509061334426e-33,1.067231496563555e-33,2.310126418251468e-33,2.8157297086011286e-34,-1.443238245748747e-33,5.1582705919036516e-34,2.0055300600396615e-34,-1.2706416810692345e-34,5.630996321855784e-34
03214,-2.344307215866637e-18,-1.977450065294547e-08,6.358021325390547e-24,8.142771140448249e-09,-1.1928909384236499e-23,-6.584462631590847e-08,-2.1892627643626967e-23,-3.0618824395034677e-07,1.122876911472684e-24,9.578381268394177e-08,-5.551327553548445e-25,-6.189096315727254e-07
03227,1.5172497522686685e-29,-3.2314424765523237e-31,2.855245876536446e-31,2.1736082592058453e-31,-1.1620339716921917e-32,-4.2671314230440186e-33,-2.224423739377973e-33,6.881504314164246e-34,-4.333340101128994e-34,5.537827682499152e-34,1.3530145671863587e-34,5.259959743603007e-34
03233,-3.1879912629832636e-30,3.2465527866957397e-31,-7.933720445364656e-32,-1.032157200383139e-32,8.209000506609036e-33,-6.925084366463335e-32,7.455051650377717e-34,-1.7590107927996608e-37,4.90388584294745e-35,2.5453046561589855e-36,-1.8966033996122751e-34,-1.1899024638099347e-34
04023,-8.021405778580714e-32,-3.428668653763223e-32,7.116736634662185e-34,-4.982024600749504e-32,-1.809502939020087e-32,-4.189320378304128e-33,-3.0970320996598494e-33,1.6989136249928018e-34,1.5081331022809455e-35,-9.202509015916833e-35,-3.5338721403593794e-35,1.2588042188556359e-36
04030,0.0,-2.7826503896951303e-06,0.0,0.0,0.0,0.0,0.0,-0.00013245415429203312,0.0,0.0,0.0,0.0
