PC1,PC2,pdv
-0.06575829294985402,-0.24239173530277935,06536
-0.06575829294985402,-0.24239173530277935,06568
-0.06575829294985402,-0.24239173530277935,06619
-0.06575829294985402,-0.24239173530277935,06635
-0.06575829294985402,-0.24239173530277935,06652
-0.06575829294985402,-0.24239173530277935,06661
-0.06575829294985402,-0.24239173530277935,06678
-0.06575829294985402,-0.24239173530277935,06708
-0.06575829294985402,-0.24239173530277935,06719
-0.0677521253358563,-0.24903823615049173,06733
-0.06575829294985402,-0.24239173530277935,06746
-0.06491781142600495,-0.23895404359922873,06779
-0.06575829294985402,-0.24239173530277935,06826
-0.06575829294985402,-0.24239173530277935,06839
-0.06575829294985402,-0.24239173530277935,06840
-0.06575829294985402,-0.24239173530277935,06843
-0.06575829294985402,-0.24239173530277935,06853
-0.06575829294985402,-0.24239173530277935,06861
-0.06575829294985402,-0.24239173530277935,06891
-0.057721337431018836,-0.23881935559856124,06892
-0.06575829294985402,-0.24239173530277935,06932
-0.06575829294985402,-0.24239173530277935,06957
-0.06575829294985402,-0.24239173530277935,06959
-0.06575829294985402,-0.24239173530277935,06961
-0.06575829294985402,-0.24239173530277935,06962
-0.06575829294985402,-0.24239173530277935,06971
-0.06575829294985402,-0.24239173530277935,06979
-0.06575829294985402,-0.24239173530277935,06980
-0.06575829294985402,-0.24239173530277935,07043
-0.06575829294985402,-0.24239173530277935,07129
-0.06575829294985402,-0.24239173530277935,07151
-0.06575829294985402,-0.24239173530277935,07246
-0.06575829294985402,-0.24239173530277935,07404
-0.06575829294985402,-0.24239173530277935,07453
-0.06575829294985402,-0.24239173530277935,07578
-0.06575829294985402,-0.24239173530277935,07608
-0.06414006582330616,-0.23789528270248012,07627
-0.06575829294985402,-0.24239173530277935,07648
-0.06575829294985402,-0.24239173530277935,07711
-0.06575829294985402,-0.24239173530277935,07718
-0.06575829294985402,-0.24239173530277935,07793
-0.06575829294985402,-0.24239173530277935,07855
-0.06575829294985402,-0.24239173530277935,07866
-0.06575829294985402,-0.24239173530277935,07886
-0.06575829294985402,-0.24239173530277935,07898
-0.06575829294985402,-0.24239173530277935,07902
-0.06575829294985402,-0.24239173530277935,08007
-0.06575829294985402,-0.24239173530277935,08142
-0.06575829294985402,-0.24239173530277935,08154
-0.06575829294985402,-0.24239173530277935,08239
-0.055024839150559515,-0.20011931484754072,08325
-0.06575829294985402,-0.24239173530277935,08439
-0.06575829294985402,-0.24239173530277935,08708
-0.06575829294985402,-0.24239173530277935,08738
-0.06575829294985402,-0.24239173530277935,1533
-0.06575829294985402,-0.24239173530277935,1543
-0.06575829294985402,-0.24239173530277935,1583
-0.06575829294985402,-0.24239173530277935,1611
-0.06575829294985402,-0.24239173530277935,1709
-0.06575829294985402,-0.24239173530277935,2205
-0.06575829294985402,-0.24239173530277935,2486
-0.06771439808462275,-0.23706374513701267,2532
-0.06580982930988606,-0.2424098275147456,3214
-0.06575829294985402,-0.24239173530277935,4030
-0.06575829294985402,-0.24239173530277935,4042
-0.06588045496708231,-0.2416614022806342,6678
-0.06575829294985402,-0.24239173530277935,6733
-0.06357802636732712,-0.24332715609432173,6779
-0.06575829294985402,-0.24239173530277935,6853
-0.06409125209987042,-0.24612984322414855,6892
-0.06575829294985402,-0.24239173530277935,6955
-0.06575829294985402,-0.24239173530277935,7627
-0.06575829294985402,-0.24239173530277935,8251
-0.0620937545762444,-0.24051404892046538,8325
-0.06575829294985402,-0.24239173530277935,8694
-0.06575829294985402,-0.24239173530277935,8861
-0.06575829294985402,-0.24239173530277935,1414
-0.06497191503938694,-0.23440260485771458,CLI0024372
-0.7602401360174355,3.87742967567015,CLI0024378
-0.06695887239730987,-0.24071416903090856,CLI0024385
-0.05087117059490457,-0.21554714889224394,CLI0024408
-0.06958199152422746,-0.24276425435841434,CLI0024410
-0.06692379456878943,-0.24499778008733553,CLI0024411
0.8874703670854542,0.08466299910749277,CLI0024416
-0.06575829294985402,-0.24239173530277935,CLI0024417
-0.06575841719939823,-0.24243191177523601,CLI0024424
0.9948202703437745,3.5501746985754865,CLI0024425
-0.05514986084699859,-0.23479264694981422,CLI0024438
-0.08731015482468146,-0.20688378280040193,CLI0024443
0.555927411713975,7.342378863065028,CLI0024446
-0.0655137516958426,-0.24142149421158182,CLI0024456
-0.07236304295856726,-0.19609300514908723,CLI0024467
0.9588777700202161,4.254109419649852,CLI0024471
-0.06576241229331778,-0.2386358427149168,CLI0024472
-0.320143176699766,4.722128861546387,CLI0024477
-0.06575829294985402,-0.24239173530277935,CLI0024493
-0.0646296067677119,-0.24622993706547489,CLI0024499
-0.05112771564194603,-0.20187148450773443,CLI0024501
-0.06539080600787436,-0.24109247851255108,CLI0024504
-0.06581778678466828,-0.2422303244586649,CLI0024509
0.7518097012149776,2.9058983138019845,CLI0024515
-0.06634990499231683,-0.24150301243271702,CLI0024518
-0.06256878097279278,-0.2404792090473724,CLI0024526
-13.798659682962057,22.828835236816015,CLI0024531
-0.06468478825225855,-0.2346178672721964,CLI0024543
-0.06575829294985402,-0.24239173530277935,CLI0024544
-0.06733738638616402,-0.2412050368167689,CLI0024561
-0.06357393542490991,-0.2374251828711556,CLI0024568
-0.06363111060764645,-0.23572347535625313,CLI0024570
-0.06089343346050448,-0.2248298398420612,CLI0024575
-0.06575829294985402,-0.24239173530277935,CLI0024591
0.09910775730972128,0.039663446443379075,CLI0024602
-0.06575829294985402,-0.24239173530277935,CLI0024603
-0.06766672556499206,-0.24479697369126424,CLI0024611
-0.06588244771890793,-0.24203944454406853,CLI0024617
-0.06575829294985402,-0.24239173530277935,CLI0024625
0.8993303788198219,4.146084184983074,CLI0024636
-0.06550549354373983,-0.24129642640801674,CLI0024641
0.4695144147073674,1.7299147862059454,CLI0024643
-0.06612515644662649,-0.2433911845468952,CLI0024647
-0.06691878563429594,-0.24114989283993013,CLI0024648
-0.07818472983306528,-0.2533953020577961,CLI0024656
-0.06724980625361499,-0.2436699557870543,CLI0024657
-4.199814950318194,9.008774238010421,CLI0024658
-0.05571123116446978,-0.229497772025804,CLI0024668
-0.06861704908386379,-0.2311530159608053,CLI0024669
-0.06774352036862463,-0.2437446273575656,CLI0024676
0.526415508486181,2.4637560374163847,CLI0024677
-0.06588753633238616,-0.24244746414615514,CLI0024684
-0.07074490883267963,-0.23946588974918886,CLI0024686
-0.07138527110100056,-0.24237915639828214,CLI0024691
-0.060828680920605734,-0.2343384449250296,CLI0024696
-0.06575829294985402,-0.24239173530277935,CLI0024715
-0.06408414666106427,-0.23237566834838866,CLI0024725
-0.047055021387642934,-0.23349182748142003,CLI0024727
-0.061226755273811204,-0.2289647892777343,CLI0024730
-0.06563438534579716,-0.24223019920191577,CLI0024732
-0.06244832359930767,-0.23835223853156048,CLI0024735
-0.0657279923440215,-0.24237437455188662,CLI0024736
-0.06575829294985402,-0.24239173530277935,CLI0024738
-0.06560255989694141,-0.2419554844666268,CLI0024739
0.8516101687448363,9.15526159680012,CLI0024741
-0.06575829294985402,-0.24239173530277935,CLI0024744
-0.064499156611265,-0.22970551086341395,CLI0024746
-0.06575829294985402,-0.24239173530277935,CLI0024753
1.0231547219561987,1.8667882201575523,CLI0024755
-0.06739535580179026,-0.24167100860748503,CLI0024767
